Place Name,State,District,City,img_source,Link,dominant_topic,probability
Kolukkumalai Tea Estate,Tamil Nadu,Theni District,Kottagudi,https://media-cdn.tripadvisor.com/media/photo-s/19/99/2d/0d/kolukkumalai-tea-estate.jpg,https://www.tripadvisor.in/Attraction_Review-g13190316-d1756507-Reviews-Kolukkumalai_Tea_Estate-Kottagudi_Theni_District_Tamil_Nadu.html,Mountains/Landscapes/Waterfalls,0.84
Shri Chitra Art Gallery,Kerala,Thiruvananthapuram District,Trivandrum,https://media-cdn.tripadvisor.com/media/photo-s/07/c4/36/9c/zoo-museum.jpg,https://www.tripadvisor.in/Attraction_Review-g297637-d1738256-Reviews-Shri_Chitra_Art_Gallery-Thiruvananthapuram_Trivandrum_Thiruvananthapuram_District.html,Museums/Indian Culture & History,0.81
Attukal Bhagavathy Temple,Kerala,Thiruvananthapuram District,Trivandrum,https://media-cdn.tripadvisor.com/media/photo-s/04/1d/64/1d/attukal-bhagavathy-temple.jpg,https://www.tripadvisor.in/Attraction_Review-g297637-d4173416-Reviews-Attukal_Bhagavathy_Temple-Thiruvananthapuram_Trivandrum_Thiruvananthapuram_Distri.html,Temples/Church/Worship,0.91
Varkala Cliff,Kerala,Thiruvananthapuram District,Varkala,https://media-cdn.tripadvisor.com/media/photo-s/0e/15/20/f7/varkala-cliff.jpg,https://www.tripadvisor.in/Attraction_Review-g297639-d11962183-Reviews-Varkala_Cliff-Varkala_Town_Varkala_Thiruvananthapuram_District_Kerala.html,Beach/Seashores,0.91
Varkala Beach,Kerala,Thiruvananthapuram District,Varkala,https://media-cdn.tripadvisor.com/media/photo-s/15/c8/f1/cb/varkala-beach.jpg,https://www.tripadvisor.in/Attraction_Review-g297639-d324100-Reviews-Varkala_Beach-Varkala_Town_Varkala_Thiruvananthapuram_District_Kerala.html,Beach/Seashores,0.88
Athirappilly Falls,Kerala,Thrissur District,Athirappilly,https://media-cdn.tripadvisor.com/media/photo-s/02/6c/ab/10/filename-kerala-pics.jpg,https://www.tripadvisor.in/Attraction_Review-g2289004-d2553639-Reviews-Athirappilly_Falls-Athirappilly_Thrissur_District_Kerala.html,Mountains/Landscapes/Waterfalls,0.94
Vadakkunnathan Temple,Kerala,Thrissur District,Thrissur,https://media-cdn.tripadvisor.com/media/photo-s/04/3c/06/69/vadakkunnathan-temple.jpg,https://www.tripadvisor.in/Attraction_Review-g735202-d2665152-Reviews-Vadakkunnathan_Temple-Thrissur_Thrissur_District_Kerala.html,Temples/Church/Worship,0.53
Guruvayur Temple,Kerala,Thrissur District,Guruvayur,https://media-cdn.tripadvisor.com/media/photo-s/01/22/f0/a7/guruvayur.jpg,https://www.tripadvisor.in/Attraction_Review-g1137974-d1218493-Reviews-Guruvayur_Temple-Guruvayur_Thrissur_District_Kerala.html,Temples/Church/Worship,0.91
Athirappilly Waterfalls,Kerala,Thrissur District,Thrissur,https://media-cdn.tripadvisor.com/media/photo-s/01/3a/f9/f9/trichur.jpg,https://www.tripadvisor.in/Attraction_Review-g735202-d1205163-Reviews-Athirappilly_Waterfalls-Thrissur_Thrissur_District_Kerala.html,Mountains/Landscapes/Waterfalls,0.86
Rock Fort Temple,Tamil Nadu,,Tiruchirappalli,https://media-cdn.tripadvisor.com/media/photo-s/03/5a/3e/3c/rock-fort-temple.jpg,https://www.tripadvisor.in/Attraction_Review-g317098-d1022152-Reviews-Rock_Fort_Temple-Tiruchirappalli_Tiruchirappalli_District_Tamil_Nadu.html,Mountains/Landscapes/Waterfalls,0.47
Sri Ayyappan Temple,Tamil Nadu,,Tiruchirappalli,https://media-cdn.tripadvisor.com/media/photo-s/08/09/d4/54/trichy-ayyappan-temple.jpg,https://www.tripadvisor.in/Attraction_Review-g317098-d6902497-Reviews-Sri_Ayyappan_Temple-Tiruchirappalli_Tiruchirappalli_District_Tamil_Nadu.html,Temples/Church/Worship,0.67
Jambukeswarar Temple,Tamil Nadu,,Tiruchirappalli,https://media-cdn.tripadvisor.com/media/photo-s/03/1a/c5/d8/jambukeswarar-temple.jpg,https://www.tripadvisor.in/Attraction_Review-g317098-d1202485-Reviews-Jambukeswarar_Temple-Tiruchirappalli_Tiruchirappalli_District_Tamil_Nadu.html,Monuments/Historical Architectures/Spiritual Attractions,0.51
Kanthimathi-Nellaiyapper Temple,Tamil Nadu,Tirunelveli District,Tirunelveli,https://media-cdn.tripadvisor.com/media/photo-s/04/47/e5/95/kanthimathi-nellaiyapper.jpg,https://www.tripadvisor.in/Attraction_Review-g1584851-d3292163-Reviews-Kanthimathi_Nellaiyapper_Temple-Tirunelveli_Tirunelveli_District_Tamil_Nadu.html,Monuments/Historical Architectures/Spiritual Attractions,0.6
Tirumala Temple,Andhra Pradesh,,Tirupati,https://media-cdn.tripadvisor.com/media/photo-s/01/1d/36/8b/caption.jpg,https://www.tripadvisor.in/Attraction_Review-g297587-d1220147-Reviews-Tirumala_Temple-Tirupati_Chittoor_District_Andhra_Pradesh.html,Temples/Church/Worship,0.83
Sri Ramana Ashram,Tamil Nadu,Tiruvannamalai District,Thiruvannamalai,https://media-cdn.tripadvisor.com/media/photo-s/02/88/33/53/filename-asien-1-105.jpg,https://www.tripadvisor.in/Attraction_Review-g2288641-d2368638-Reviews-Sri_Ramana_Ashram-Thiruvannamalai_Tiruvannamalai_District_Tamil_Nadu.html,Temples/Church/Worship,0.8
Ponmudi Hill Station,Kerala,,Trivandrum,https://media-cdn.tripadvisor.com/media/photo-s/09/be/39/e0/ponmudi-hill-station.jpg,https://www.tripadvisor.in/Attraction_Review-g297631-d946705-Reviews-Ponmudi_Hill_Station-Kerala.html,Mountains/Landscapes/Waterfalls,0.82
Poovar Island,Kerala,,Trivandrum,https://media-cdn.tripadvisor.com/media/photo-s/02/47/e9/8e/filename-dsc02580-jpg.jpg,https://www.tripadvisor.in/Attraction_Review-g297637-d2471106-Reviews-Poovar_Island-Thiruvananthapuram_Trivandrum_Thiruvananthapuram_District_Kerala.html,Riverbank/Pilgrimage,0.49
Vizhinjam Lighthouse,Kerala,,Trivandrum,https://media-cdn.tripadvisor.com/media/photo-s/02/4c/09/59/lighthouse-from-kovalam.jpg,https://www.tripadvisor.in/Attraction_Review-g297637-d2414342-Reviews-Vizhinjam_Lighthouse-Thiruvananthapuram_Trivandrum_Thiruvananthapuram_District_Ke.html,Beach/Seashores,0.4
